address	module	provisional_symbol	type	provenance	evidence_level	status
0x82293C28	default.xex	sub_82293C28	function	Ghidra Bridge; constructs derived object and subobject at +10672	cross-match	qualified
0x82293C88	default.xex	sub_82293C88	function	Ghidra Bridge; destroys subobject at +10672 then calls 0x82227B08	cross-match	qualified
0x82329428	default.xex	sub_82329428	function	Ghidra Bridge; destructor path for derived +10672 subobject	cross-match	qualified
0x822270A0	default.xex	sub_822270A0_player_child_dispatch_c0	function	canonical table 0x82007A10 +0xC0; Ghidra Bridge decompile; cycle 781 runtime halfword moves	cross-match	qualified; halfwords rejected as analog pitch
0x823911C0	default.xex	sub_823911C0_XamInputGetState_wrapper	function	canonical Ghidra ace-combat-6; calls XamInputGetState with type 1	cross-match	qualified
0x8234D3F0	default.xex	sub_8234D3F0_device_poll	function	canonical Ghidra ace-combat-6; calls 0x823911C0 with object+0x44 then 0x8234D378	cross-match	qualified
0x8234D478	default.xex	sub_8234D478_device_capability_poll	function	canonical Ghidra ace-combat-6; capability check then same state/copy chain	cross-match	qualified
0x8234D378	default.xex	sub_8234D378_raw_to_canonical_axes	function	canonical Ghidra ace-combat-6; cycle 782 raw+0x4E to canonical+0x3E runtime join	runtime-direct	qualified
0x821CE088	default.xex	historical_input_poller_rejected	address	canonical Ghidra containing function plus qualified generated literal; no XAM poll at this address	cross-match	rejected historical semantics
0x82215418	default.xex	historical_input_aggregator_rejected	address	canonical Ghidra boundary truncated; qualified generated literal initializes unrelated tables	cross-match	rejected historical semantics
0x82215210	default.xex	historical_analog_mapper_rejected	address	canonical Ghidra locates address inside 0x822151D0; not canonical analog mapper entry	cross-match	rejected historical semantics
0x823093C8	default.xex	RadioTblBin_getReadBuffSize_candidate	function	user lead; PAL XEX verification pending	lead	unqualified
0x823094D8	default.xex	RadioTblBin_read_candidate	function	user lead; PAL XEX verification pending	lead	unqualified
0x821A16B8	default.xex	campaign_render_selector	function	canonical Ghidra ace-combat-6; loaded-image fingerprint; cycle-1026 runtime hook	confirmed	qualified; runtime route full_3d in C5/C6
0x821A1704	default.xex	campaign_render_mask_load	instruction	canonical Ghidra ace-combat-6; bytes 7E4BA02E; loaded-image fingerprint	confirmed	qualified
0x821A1884	default.xex	campaign_render_3d_mask_test	instruction	canonical Ghidra ace-combat-6; 16-byte fingerprint; loaded-image test	confirmed	qualified
0x821A0DFC	default.xex	campaign_context_prepare_flag_test	instruction	canonical Ghidra ace-combat-6; manager+0x1E0 bit 0x100 fingerprint	confirmed	qualified; runtime installation parent wrapper not directly observed
0x8226DF00	default.xex	campaign_uphud_inline_marker	instruction	canonical Ghidra ace-combat-6; inline in sub_8226D1C8; cycle-1026 runtime	cross-match	qualified; reached
0x8226DF1C	default.xex	campaign_uphud_context_call	instruction	canonical Ghidra ace-combat-6; manager+0x29C load and virtual slot +0x38	cross-match	qualified; target non-null
0x822E5310	default.xex	campaign_view_writer_candidate_0	instruction	canonical Ghidra ace-combat-6; stw r11,0x260(r30); parent 0x822E5280	confirmed	qualified instruction; runtime writer role open
0x822E5454	default.xex	campaign_view_writer_candidate_1	instruction	canonical Ghidra ace-combat-6; stw r11,0x260(r4)	confirmed	qualified instruction; parent undefined
0x822E7218	default.xex	campaign_view_writer_candidate_2	instruction	canonical Ghidra ace-combat-6; stw r9,0x260(r31)	confirmed	qualified instruction; parent undefined
0x822E74F8	default.xex	campaign_view_writer_candidate_3	instruction	canonical Ghidra ace-combat-6; stw r11,0x260(r29)	confirmed	qualified instruction; parent undefined
0x822E76E4	default.xex	campaign_view_writer_candidate_4	instruction	canonical Ghidra ace-combat-6; stw r11,0x260(r31)	confirmed	qualified instruction; parent undefined
0x822E78FC	default.xex	campaign_view_writer_candidate_5	instruction	canonical Ghidra ace-combat-6; stw r11,0x260(r31)	confirmed	qualified instruction; parent undefined
0x822E89A8	default.xex	campaign_view_writer_candidate_6	instruction	canonical Ghidra ace-combat-6; stw r11,0x260(r29)	confirmed	qualified instruction; parent undefined
native-main:run_play_headless	ac6-native	mission01_native_session_loop	function	main.cpp; fixed-step 1800-tick native Vulkan session, replay, pause, checkpoint save/resume and fresh restart	runtime-direct	qualified by P3 native headless evidence
native-main:run_play_interactive	ac6-native	mission01_native_interactive_loop	function	main.cpp; persistent SDL window, Vulkan device, swapchain, renderer and input pump	runtime-direct	qualified by native build and session implementation
native-main:run_combat_headless	ac6-native	native_combat_probe	function	main.cpp; manifest-loaded target lock, weapon fire, projectile damage and destruction	runtime-direct	qualified by native combat artifact
native-product:NativeRenderTarget::draw_world_geometry	ac6-native	native_filled_rasterizer	function	product_runtime.cpp; shared edge barycentrics, NDC clipping, depth [0,1], native capture metrics	runtime-direct	qualified by P0 native E2E and 1800-tick capture
native-product:NativeRenderTarget::aircraft_world_anchor	ac6-native	native_player_model_anchor	function	product_runtime.cpp; applies WorldFrame position to model-local aircraft before projection	runtime-direct	qualified by anchor unit test and P1 object-ID capture
native-product:NativeHudRenderer	ac6-native	native_hud_overlay	function	native_hud.cpp; consumes WorldFrame, CombatWorld, MissionScenario and RadioPlaybackService	runtime-direct	qualified by HUD unit test and P2 native capture
retail:DATA.TBL[34]/root/0001	DATA00.PAC	entry34_m01_mapobj_mdlp	resource	PAL DATA.TBL/PAC; entry34 manifest d7790fd5245948f8e433eb8741c7a77da651db2403b8167597fb52cbac31cd8f; mapobj_m01_l_brg1/brg2	string-qualified	qualified
retail:DATA.TBL[34]/root/0015	DATA00.PAC	entry34_radio_key_table	resource	PAL DATA.TBL/PAC; leaf SHA 2c5d9fe0ca271e2869157cfc14fdaffa1988d5152275dbdf1647a0b3578b0fd0; IDs 15/86/98	string-qualified	qualified identity-only
native-main:MissionExecution::play_radio	ac6-native	native_retail_radio_dispatch	function	product_runtime.cpp; P4 native-session c80bebca9624bceb407f4d5162684fa04392b197e09cd3bb82a5cdc7a0465f71	runtime-direct	qualified startup event only
native-main:MissionScenario::evaluate_combat	ac6-native	native_objective_condition_evaluator	function	product_runtime.cpp; explicit UnitRegistry/CombatWorld binding with DestroyUnit and ProtectUnit terminal tests	runtime-direct	qualified native mechanism; retail identity open
bridge:0x822707C8	default.xex	gameplay_object_vtable_census	function	bridge instrumentation; cycle-1035 frames 16312..16920; object_count=230; vtable 0x82009440 count=228 without identity	bridge-support	tested boundary; no wave/objective semantics
0x8200F5A8	default.xex	SubMisTblBin_parser_error_string	string	canonical Ghidra project ace-combat-6; cycle-1036 reference and split-materialization search; default.xex SHA-256 acc302c1599c7a2fd38bd5a7de395b418a157d7001b6f986ab7113f45711bcde	static-analysis	rejected as loader evidence; zero references and zero split-materialization hits
bridge:0x820A7F48+constructors	default.xex	mission01_unit_factory_entry_boundary	function boundary	read-only bridge hooks; cycles 1041–1043; storage browser state40=8 selector44=4 type28=6; zero hook calls	bridge-support	tested precondition only; no retail unit or wave identity
bridge:save-dialog-type28-6-to-8	default.xex	mission01_storage_transition_bridge_boundary	state-machine boundary	current-source bridge build c82042b60b78d2e2b69733a70499eb1243a9c5fb6e47b3db0fd70dc1b814a30e; cycle 1046 fresh profile reaches selector44=7/type28=8 and selector44=8/type28=10	bridge-support	qualified bridge-only transition; never native gate evidence
bridge:text-probe-window-boundary	default.xex	mission01_text_probe_window_boundary	diagnostic boundary	current-source bridge builds dc6f23a68fa3217e6d744a230c97da9f9e5647b2f60c39a81feeeeaf39f370e1 and c94d00106afb23d105c5b3f1c24715124c1e62d01c39dd0b45cae7ffd4153a75; cycle 1050 stops before type28=37 with zero text records	bridge-support	tested but unqualified; no retail text or scenario semantics
bridge:0x820A7F48-gameplay	default.xex	mission01_retail_factory_after_gameplay_handoff	function boundary	cycle-1057 bridge binary c94d00106afb23d105c5b3f1c24715124c1e62d01c39dd0b45cae7ffd4153a75; 128 factory calls; selector 4 returns vtable 0x82009440; census 230 objects, 228 generic	bridge-support	qualified boundary only; no retail unit, wave, faction, target, objective or native gate identity
retail:DATA.TBL[9..23]/closure	DATA00.PAC	mission01_mission_family_closure	resource family	bounded extractor/closure/comparison; DATA.TBL SHA-256 82700410d305dc2d24e24d378ce5b9b63f240ac208842d7620b608fac15d50f5; 15 roots; zero parser notes	static-analysis	tested boundary; exact hashes and shared nodes recorded, no unit/wave/objective semantics
bridge:task-memory-ab-control	default.xex	mission01_task_record_boundary	diagnostic boundary	cycle-1068 hybrid logger 2016b17a3981fd773772210840ffffedb479eda7a6f5b207f37bca9ae0110592; control c94d00106afb23d105c5b3f1c24715124c1e62d01c39dd0b45cae7ffd4153a75; both type28=0->6->9	bridge-support	tested negative boundary; zero task records and no registry identity
